TIME,ATM,STRIKE,CE_OPEN,CE_CLOSE,CE_HIGH,CE_LOW,CE_OVERALL_HIGH,CE_OVERALL_HIGH_TIME,CE_OVERALL_LOW,CE_OVERALL_LOW_TIME,PE_OPEN,PE_CLOSE,PE_HIGH,PE_LOW,PE_OVERALL_HIGH,PE_OVERALL_HIGH_TIME,PE_OVERALL_LOW,PE_OVERALL_LOW_TIME
14:45:00,ATM+150,17250,30.5,33.9,34.15,27.2,44.4,14:50:00,17.5,15:20:00,160.4,148.1,175.45,148.1,225.1,15:20:00,122.4,14:50:00
14:45:00,ATM+200,17300,19.0,21.4,21.45,16.8,28.8,14:50:00,11.05,15:20:00,199.0,185.75,214.7,185.75,268.55,15:20:00,156.35,14:50:00
14:45:00,ATM+250,17350,11.15,12.8,12.95,10.0,17.8,14:50:00,6.55,15:25:00,241.15,227.35,256.9,227.35,314.4,15:20:00,197.0,14:50:00
14:45:00,ATM+300,17400,6.65,7.7,7.75,6.05,10.75,14:50:00,4.2,15:25:00,286.85,273.15,304.0,273.15,361.5,15:20:00,239.25,14:50:00
14:45:00,ATM+350,17450,4.0,4.6,4.7,3.8,6.25,14:50:00,2.95,15:30:00,334.9,321.2,349.95,321.2,408.45,15:20:00,285.0,14:50:00
14:45:00,ATM+400,17500,2.95,3.25,3.3,2.75,4.05,14:50:00,2.6,15:10:00,381.55,367.75,401.0,367.6,460.85,15:20:00,332.0,14:50:00
14:45:00,ATM+450,17550,2.2,2.45,2.5,2.05,2.9,14:50:00,2.05,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+500,17600,1.9,2.0,2.05,1.75,2.3,14:50:00,1.7,15:15:00,480.0,469.35,499.0,469.0,558.45,15:20:00,430.0,14:50:00
14:45:00,ATM+550,17650,1.6,1.75,1.75,1.55,1.85,14:50:00,1.45,15:00:00,545.9,545.9,545.9,545.9,600.85,15:15:00,494.05,14:55:00
14:45:00,ATM+600,17700,1.5,1.5,1.55,1.4,1.8,15:25:00,1.35,15:00:00,580.0,570.2,597.3,570.2,656.8,15:15:00,533.0,14:50:00
14:45:00,ATM+650,17750,1.35,1.4,1.45,1.3,1.8,15:30:00,1.25,15:00:00,-,-,-,-,-,-,-,-
14:45:00,ATM+700,17800,1.2,1.15,1.25,1.1,1.65,15:25:00,1.1,14:45:00,680.0,680.0,695.0,680.0,758.0,15:20:00,630.0,14:50:00
14:45:00,ATM+750,17850,1.15,1.15,1.15,1.1,1.6,15:25:00,1.05,15:00:00,-,-,-,-,-,-,-,-
14:45:00,ATM+800,17900,0.95,1.05,1.05,0.95,1.5,15:30:00,0.9,15:00:00,777.1,770.35,777.1,770.35,856.45,15:15:00,735.65,14:55:00
14:45:00,ATM+850,17950,1.0,1.0,1.0,0.95,1.5,15:25:00,0.85,15:00:00,-,-,-,-,-,-,-,-
14:45:00,ATM+900,18000,0.9,0.9,0.95,0.85,1.55,15:25:00,0.75,15:05:00,867.75,868.15,894.0,867.75,955.95,15:20:00,828.95,14:50:00
14:45:00,ATM+950,18050,0.8,0.85,0.9,0.75,1.45,15:30:00,0.7,15:00:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1000,18100,0.75,0.75,0.8,0.7,1.35,15:25:00,0.6,15:05:00,975.65,975.65,975.65,975.65,1043.8,15:20:00,944.75,14:50:00
14:45:00,ATM+1050,18150,0.75,0.8,0.8,0.7,1.35,15:25:00,0.65,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1100,18200,0.7,0.7,0.7,0.6,1.2,15:25:00,0.45,15:00:00,1069.55,1069.55,1081.0,1069.55,1149.6,15:20:00,1030.0,14:50:00
14:45:00,ATM+1150,18250,0.55,0.6,0.6,0.55,1.2,15:25:00,0.45,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1200,18300,0.6,0.6,0.65,0.55,1.25,15:25:00,0.5,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1250,18350,0.55,0.55,0.55,0.5,1.25,15:25:00,0.4,15:00:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1300,18400,0.55,0.5,0.55,0.5,1.1,15:25:00,0.4,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1400,18500,0.55,0.55,0.55,0.45,1.0,15:30:00,0.45,15:05:00,1382.85,1374.7,1397.0,1370.0,1460.65,15:20:00,1332.0,14:50:00
14:45:00,ATM+1500,18600,0.5,0.55,0.6,0.45,0.9,15:25:00,0.45,15:00:00,1472.0,1472.0,1490.0,1472.0,1554.85,15:20:00,1435.0,14:50:00
14:45:00,ATM+1550,18650,0.55,0.55,0.55,0.55,0.95,15:30:00,0.45,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1600,18700,0.55,0.6,0.6,0.55,0.8,15:30:00,0.5,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1700,18800,0.55,0.55,0.55,0.55,0.8,15:30:00,0.45,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1750,18850,0.6,0.6,0.6,0.6,0.9,15:30:00,0.55,15:05:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1850,18950,0.5,0.5,0.5,0.5,0.75,15:30:00,0.4,15:00:00,-,-,-,-,-,-,-,-
14:45:00,ATM+1900,19000,0.4,0.4,0.45,0.4,0.85,15:30:00,0.4,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2050,19150,0.4,0.4,0.4,0.35,0.7,15:30:00,0.35,14:50:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2150,19250,0.45,0.45,0.45,0.45,0.9,15:30:00,0.45,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2200,19300,0.5,0.5,0.5,0.5,0.9,15:30:00,0.5,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2350,19450,0.35,0.4,0.4,0.35,0.85,15:30:00,0.35,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2400,19500,0.3,0.25,0.35,0.25,0.8,15:25:00,0.25,14:45:00,2383.5,2383.5,2395.0,2381.6,2457.5,15:20:00,2342.0,14:50:00
14:45:00,ATM+2450,19550,0.3,0.25,0.4,0.25,0.45,15:25:00,0.25,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2500,19600,0.35,0.35,0.35,0.35,0.75,15:30:00,0.3,14:55:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2600,19700,0.3,0.3,0.35,0.3,0.7,15:30:00,0.3,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2650,19750,0.3,0.3,0.35,0.3,0.5,15:05:00,0.3,14:45:00,-,-,-,-,-,-,-,-
14:45:00,ATM+2700,19800,0.3,0.25,0.35,0.25,0.75,15:30:00,0.25,14:45:00,-,-,-,-,-,-,-,-
14:45:00,SPOT,SPOT,17116.2,17128.6,17129.0,17103.5,17165.3,14:50:00,17027.85,15:25:00,-,-,-,-,-,-,-,-
14:50:00,ATM-2050,15100,-,-,-,-,-,-,-,-,0.65,0.65,0.75,0.65,0.75,15:15:00,0.5,15:30:00
14:50:00,ATM-1950,15200,-,-,-,-,-,-,-,-,0.75,0.75,0.8,0.75,0.8,14:55:00,0.6,15:20:00
14:50:00,ATM-1750,15400,-,-,-,-,-,-,-,-,0.75,0.75,0.85,0.75,0.9,15:00:00,0.7,15:25:00
14:50:00,ATM-1650,15500,1664.9,1671.4,1672.2,1638.8,1672.2,14:50:00,1548.8,15:20:00,0.65,0.65,0.7,0.6,0.85,15:30:00,0.5,15:30:00
14:50:00,ATM-1550,15600,-,-,-,-,-,-,-,-,0.8,0.8,0.85,0.8,1.0,15:30:00,0.8,14:50:00
14:50:00,ATM-1450,15700,-,-,-,-,-,-,-,-,0.75,0.75,0.8,0.75,1.0,15:30:00,0.6,15:30:00
14:50:00,ATM-1400,15750,-,-,-,-,-,-,-,-,0.8,0.75,0.8,0.75,0.9,15:15:00,0.5,15:25:00
14:50:00,ATM-1350,15800,-,-,-,-,-,-,-,-,0.75,0.75,0.85,0.75,1.05,15:15:00,0.6,15:25:00
14:50:00,ATM-1250,15900,-,-,-,-,-,-,-,-,0.8,0.85,0.85,0.75,0.95,15:10:00,0.65,15:30:00
14:50:00,ATM-1200,15950,-,-,-,-,-,-,-,-,0.8,0.8,0.8,0.75,0.9,15:05:00,0.65,15:05:00
14:50:00,ATM-1150,16000,1164.7,1169.2,1169.75,1139.2,1169.75,14:50:00,1045.0,15:20:00,0.9,0.9,0.9,0.85,1.1,15:10:00,0.7,15:05:00
14:50:00,ATM-1100,16050,-,-,-,-,-,-,-,-,0.95,0.95,1.05,0.85,1.15,15:10:00,0.7,15:00:00
14:50:00,ATM-1050,16100,-,-,-,-,-,-,-,-,1.0,1.05,1.05,0.95,1.2,15:10:00,0.7,15:05:00
14:50:00,ATM-1000,16150,-,-,-,-,-,-,-,-,1.2,1.2,1.2,1.15,1.45,15:30:00,0.95,15:05:00
14:50:00,ATM-950,16200,-,-,-,-,-,-,-,-,1.25,1.25,1.25,1.1,1.7,15:30:00,1.05,15:00:00
14:50:00,ATM-900,16250,-,-,-,-,-,-,-,-,1.4,1.35,1.4,1.25,1.75,15:30:00,1.25,15:05:00
14:50:00,ATM-850,16300,-,-,-,-,-,-,-,-,1.65,1.65,1.7,1.5,2.1,15:30:00,1.5,15:00:00
14:50:00,ATM-800,16350,-,-,-,-,-,-,-,-,1.75,1.75,1.85,1.6,2.5,15:30:00,1.7,14:50:00
14:50:00,ATM-750,16400,-,-,-,-,-,-,-,-,2.25,2.25,2.3,2.1,3.35,15:30:00,2.15,14:50:00
14:50:00,ATM-700,16450,-,-,-,-,-,-,-,-,2.65,2.6,2.85,2.45,4.0,15:30:00,2.5,14:50:00
14:50:00,ATM-650,16500,666.5,666.05,671.5,639.2,671.5,14:50:00,547.0,15:20:00,3.1,3.15,3.4,2.95,5.0,15:30:00,3.0,14:50:00
14:50:00,ATM-600,16550,-,-,-,-,-,-,-,-,3.55,3.5,3.85,3.3,6.0,15:30:00,3.35,14:55:00
14:50:00,ATM-550,16600,567.0,575.4,575.4,545.0,575.4,14:50:00,456.5,15:20:00,4.1,4.1,4.65,3.95,7.5,15:30:00,3.85,14:55:00
14:50:00,ATM-500,16650,523.5,523.5,523.5,500.85,523.5,14:50:00,407.45,15:20:00,4.7,4.7,5.45,4.55,8.95,15:30:00,4.4,14:55:00
14:50:00,ATM-450,16700,468.0,468.75,475.0,444.4,475.0,14:50:00,351.4,15:20:00,5.75,5.7,6.65,5.45,10.8,15:30:00,5.4,14:55:00
14:50:00,ATM-400,16750,428.0,428.85,428.85,398.7,428.85,14:50:00,307.35,15:20:00,7.2,7.2,8.35,6.75,14.0,15:30:00,6.7,14:55:00
14:50:00,ATM-350,16800,372.0,371.95,380.0,346.4,380.0,14:50:00,259.85,15:20:00,9.2,9.2,10.75,8.6,17.85,15:15:00,8.6,14:50:00
